cluster,etiqueta,modelo,trial,cv_wmape_val,wmape_train,wmape_val,wmape_test,r2_train,r2_val,r2_test,gap_r2_train_test,gap_r2_train_val,t_fit_full_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_random_state,param_n_jobs,param_early_stopping_rounds
0,Montaña / clima frío,XGBoost,13,0.9025227598639788,0.29017686182007735,0.5760642039473749,0.8339562889382057,0.99390401087749,0.986774678522913,0.992695772565977,0.0012082383115130657,0.007129332354577023,1.4039099216461182,600,4,0.05,0.8481357541560881,0.9083189420548108,0.0012005836524594088,0.055119502362058814,15,42,-1,30
0,Montaña / clima frío,XGBoost,16,0.9049902235314903,0.2753705828113277,0.706062922089663,1.0013712953456226,0.9938857673947958,0.9792831492574253,0.9889735895397129,0.004912177855082911,0.014602618137370516,1.2647943496704102,400,6,0.05,0.8020439023634542,0.8483497879540335,0.03472348729848184,2.378512607001765,22,42,-1,30
0,Montaña / clima frío,XGBoost,15,0.9158159679652851,0.14799710637663147,0.6842639239932361,0.8972176090151625,0.9990342610094156,0.9810782571216017,0.9913000122761364,0.007734248733279214,0.01795600388781393,1.7767906188964844,600,6,0.1,0.9192600713553615,0.769171629012067,0.003931717402592168,7.941604511821159,5,42,-1,30
0,Montaña / clima frío,XGBoost,24,0.9273941246509289,0.3165479358131864,0.6340238270141383,0.8394611186611894,0.9941888624900325,0.9847871283019145,0.9925056261002542,0.0016832363897782976,0.00940173418811796,1.528583288192749,600,3,0.1,0.8066510076410891,0.7477029711021994,0.009264674108181404,0.19519915089169199,9,42,-1,30
0,Montaña / clima frío,XGBoost,4,0.9552140879048119,0.4374352215305946,0.6842854406082984,1.051761305102646,0.9849666360390091,0.9818508201380534,0.9878786846112375,-0.002912048572228376,0.003115815900955776,0.920557975769043,200,3,0.1,0.6381771137301993,0.9436010071393537,0.29150725963224583,0.5213892313877748,17,42,-1,30
0,Montaña / clima frío,XGBoost,8,0.9673139538337676,0.36152958239901456,0.684978277366063,0.985611342760388,0.9904946082264152,0.9816664384123375,0.9894815271379362,0.0010130810884789732,0.008828169814077746,0.372591495513916,200,4,0.1,0.9972761343147813,0.793907255408496,0.004260550766558987,0.004564235730252763,19,42,-1,30
0,Montaña / clima frío,XGBoost,10,0.9984462610460557,0.3991861790765586,0.7603292519910473,1.012746677840386,0.9858631940896245,0.9793637503053763,0.9894072261641237,-0.0035440320744991594,0.006499443784248271,1.3146333694458008,600,3,0.05,0.8628393019223723,0.6381891794879508,0.0010702858473417216,9.263647478463158,29,42,-1,30
0,Montaña / clima frío,XGBoost,22,1.0132127785787683,0.40147232242830977,0.6733610327811499,1.0586668146310865,0.986552698783787,0.9821147716102699,0.9884767464097259,-0.0019240476259388961,0.004437927173517098,1.6344258785247803,600,3,0.1,0.6823209197865829,0.7536376213663883,0.8635173158167871,0.1493026226313215,1,42,-1,30
0,Montaña / clima frío,XGBoost,2,1.0968326769139627,0.3200728384068471,0.8425126740558412,1.2330278896888816,0.9930992700739154,0.9728460983355225,0.9837748577018747,0.009324412372040736,0.020253171738392917,1.5084877014160156,600,6,0.1,0.941542963129548,0.6924354480518836,0.5840570023871113,0.741807701232845,2,42,-1,30
0,Montaña / clima frío,XGBoost,20,1.1037666325875921,0.22500518293971047,0.8981939343270434,1.2544615685487899,0.9957821328398913,0.9692259974584594,0.985430110636003,0.0103520222038882,0.026556135381431867,1.9128358364105225,600,6,0.1,0.9758239773558892,0.6027229472854578,0.0024206751017294514,3.176090961499993,29,42,-1,30
0,Montaña / clima frío,XGBoost,19,1.2282952157837113,0.5376989577029438,1.1612894934429019,1.67399621735846,0.9866267791255634,0.9537135367503013,0.9755250426423312,0.011101736483232205,0.03291324237526205,1.5049164295196533,400,6,0.01,0.811946807141038,0.8598360970151226,0.012683978887497612,2.0234485088857226,4,42,-1,30
0,Montaña / clima frío,XGBoost,6,1.3944621904223686,0.806055754874842,1.3584388357209711,1.7874126573611122,0.9721310409904304,0.9398511982636921,0.9715998908816201,0.0005311501088102188,0.03227984272673823,1.5929696559906006,600,3,0.01,0.7539144509761961,0.8162384853633057,0.22307701788694148,0.009054669920701537,2,42,-1,30
0,Montaña / clima frío,XGBoost,5,1.613507164471794,0.6915274977379848,1.382018872284479,1.8192047273123375,0.968735876162081,0.9348613652460062,0.9697782620018917,-0.0010423858398106445,0.03387451091607485,0.6187777519226074,200,4,0.1,0.6013391809596202,0.7005702473866431,3.1720593561819057,0.4586494770633942,11,42,-1,30
0,Montaña / clima frío,XGBoost,7,1.6598658679618894,1.022362204873219,1.623651011237069,2.1946758523394325,0.9563683868756867,0.9139854238294258,0.9593556833446417,-0.002987296468955014,0.04238296304626088,2.4505209922790527,400,3,0.01,0.72338572638074,0.8885927964502867,0.012072171190656154,0.0011509395512882498,11,42,-1,30
0,Montaña / clima frío,XGBoost,3,3.1844086758155163,1.943872223484756,2.985111908090348,4.625840409941249,0.8595359271936838,0.7118754227117465,0.8291132513730322,0.030422675820651612,0.14766050448193724,0.40468716621398926,200,3,0.01,0.7500275053586062,0.822068295777273,4.978080768810443,0.33428616351561846,1,42,-1,30
1,Zona templada húmeda,LightGBM,20,0.5475252487655121,0.18658088119744878,0.45854193982110375,0.4049528523977459,0.9992317177028601,0.9961026128730931,0.996658237054573,0.0025734806482871075,0.0031291048297670265,8.718072652816772,800,10,0.05,0.6479973440981033,0.8899042926835327,0.03599435539984706,0.00560444839104064,,42,-1,
1,Zona templada húmeda,LightGBM,12,0.5479523231752728,0.17993984094618698,0.5606787407235634,0.401938078800056,0.9993033460663814,0.9952788135287488,0.9968841089828345,0.0024192370835468546,0.004024532537632575,8.041655778884888,800,10,0.05,0.6270350711925172,0.802979639932969,0.0010183737720780683,0.0015403816046303958,,42,-1,
1,Zona templada húmeda,LightGBM,13,0.5562714611655376,0.1986933141766381,0.5851004073155314,0.42802559572850857,0.9991568516272694,0.9949984870957069,0.9965734178548339,0.0025834337724355283,0.004158364531562486,8.94844937324524,800,10,0.05,0.6858623254806744,0.8102312811074561,0.0031134096057150815,0.014412239690507178,,42,-1,
1,Zona templada húmeda,LightGBM,24,0.5652960654321687,0.23973835900468304,0.6155585261847991,0.45956301154250206,0.9986591268352253,0.9944179992204519,0.9958537118794554,0.0028054149557699137,0.0042411276147733545,5.623981475830078,800,10,0.05,0.7321882139141397,0.7956173445115207,0.008395251356635151,0.006784062977604537,,42,-1,
1,Zona templada húmeda,LightGBM,17,0.5673275078538864,0.20645080000735985,0.4852527627387272,0.4295865821757554,0.9989631174662604,0.9960747900544757,0.9961986468056838,0.0027644706605766123,0.0028883274117846858,6.642139673233032,800,10,0.05,0.6039116150126248,0.8724668873674167,0.0043729111779536485,0.013484939481476268,,42,-1,
1,Zona templada húmeda,LightGBM,22,0.5922711627955138,0.2191789099688739,0.6230955171586718,0.44723255108482457,0.9988649569292741,0.9942279935476375,0.9959734304275104,0.0028915265017637193,0.004636963381636661,5.928837060928345,800,10,0.05,0.6318859961483161,0.8763070664878767,0.029410940094148193,0.02157369232088245,,42,-1,
1,Zona templada húmeda,LightGBM,21,0.6253130323329422,0.289270967403874,0.3994170066284932,0.4791616063310818,0.9976105088087938,0.9960969686540403,0.994973596441961,0.002636912366832722,0.0015135401547534677,6.6070966720581055,800,10,0.05,0.6565756520134748,0.9561176644126508,0.34743582543201695,0.004659845509495628,,42,-1,
1,Zona templada húmeda,LightGBM,3,0.6473909009469361,0.2613152156438533,0.3711397620495377,0.43164608321406533,0.99759053823202,0.9962451234153946,0.9950366008693395,0.002553937362680503,0.0013454148166254232,6.3932294845581055,800,10,0.05,0.8692064395253436,0.8417405230243822,0.0026623573615959244,0.21560358943109328,,42,-1,
1,Zona templada húmeda,LightGBM,18,0.6517187974739491,0.24939444337163963,0.6996333393570956,0.50184093502817,0.9987200266520762,0.9936396668944284,0.9954027358879056,0.003317290764170533,0.005080359757647757,3.4908177852630615,300,10,0.1,0.6722711481563647,0.7973607864278982,0.001147605279100232,0.004086540186009682,,42,-1,
1,Zona templada húmeda,LightGBM,10,0.6590880134793374,0.23293825745162608,0.5211994590878343,0.4485309132094175,0.9985633202248809,0.9956098278152398,0.9957286871492419,0.002834633075639026,0.0029534924096411563,6.625736474990845,800,10,0.05,0.6092371755892563,0.817915951473594,0.0011843387813227002,0.001743796385379396,,42,-1,
1,Zona templada húmeda,LightGBM,11,0.6618570820604325,0.2763756782301089,0.5038512602777413,0.497119675689168,0.9979064725684195,0.9953894103495379,0.9950573957155852,0.002849076852834309,0.002517062218881594,5.385782480239868,800,10,0.05,0.638615387483713,0.8128920826911282,0.001104024601660456,9.819691928715262,,42,-1,
1,Zona templada húmeda,LightGBM,4,0.6731775140350054,0.3182248564261029,0.4266383340727787,0.47410461047376135,0.997077880343374,0.9959586607193189,0.9946170998312749,0.002460780512099081,0.0011192196240550345,3.2281551361083984,800,6,0.1,0.7393502450813171,0.9091734553392528,0.017044835631149047,1.0801824330855871,,42,-1,
1,Zona templada húmeda,LightGBM,23,0.6810378089682328,0.27933023423222536,0.5941552023154945,0.524432948917598,0.9977484469412727,0.994422965741381,0.994289353835767,0.0034590931055057395,0.0033254811998917333,9.536011695861816,800,10,0.05,0.6990144411813848,0.8412034618681834,0.26300679142616823,0.0017264220452433805,,42,-1,
